0.0 0.0	0 0
2.15 0.000488446	1.09391e-199 0.000488446
2.1599999999999997 0.000577522	7.66701e-198 0.000577522
2.17 0.000666598	5.26775e-196 0.000666598
2.1799999999999997 0.000755674	3.54797e-194 0.000755674
2.19 0.00084475	2.34255e-192 0.00084475
2.2 0.000933826	1.51619e-190 0.000933826
2.21 0.0010585488	9.62002e-189 0.00105855
2.2199999999999998 0.0011832716	5.98347e-187 0.00118327
2.23 0.0013079944	3.64826e-185 0.00130799
2.24 0.0014327172	2.18059e-183 0.00143272
2.25 0.00155744	1.27767e-181 0.00155744
2.26 0.001721996	7.33871e-180 0.001722
2.2699999999999996 0.001886552	4.13216e-178 0.00188655
2.28 0.0020511080000000003	2.28082e-176 0.00205111
2.29 0.002215664	1.23413e-174 0.00221566
2.3 0.00238022	6.54617e-173 0.00238022
2.3099999999999996 0.0025942540000000003	3.40385e-171 0.00259425
2.32 0.002808288	1.73505e-169 0.00280829
2.33 0.003022322	8.6698e-168 0.00302232
2.34 0.003236356	4.24682e-166 0.00323636
2.35 0.00345039	2.03928e-164 0.00345039
2.36 0.003710868	9.59946e-163 0.00371087
2.37 0.003971346	4.42971e-161 0.00397135
2.38 0.004231824	2.00383e-159 0.00423182
2.3899999999999997 0.004492302	8.88597e-158 0.0044923
2.4 0.00475278	3.86285e-156 0.00475278
2.4099999999999997 0.005041244	1.64615e-154 0.00504124
2.42 0.005329708	6.87683e-153 0.00532971
2.4299999999999997 0.005618172	2.81622e-151 0.00561817
2.44 0.005906636	1.13059e-149 0.00590664
2.45 0.0061951	4.4494e-148 0.0061951
2.46 0.00649979	1.71656e-146 0.00649979
2.4699999999999998 0.00680448	6.49195e-145 0.00680448
2.48 0.00710917	2.40687e-143 0.00710917
2.49 0.00741386	8.7476e-142 0.00741386
2.5 0.00771855	3.11664e-140 0.00771855
2.51 0.008054296	1.08854e-138 0.0080543
2.5199999999999996 0.008390042	3.72704e-137 0.00839004
2.53 0.008725788	1.25096e-135 0.00872579
2.54 0.009061534	4.1161e-134 0.00906153
2.55 0.00939728	1.32767e-132 0.00939728
2.5599999999999996 0.009799463999999999	4.19813e-131 0.00979946
2.57 0.010201647999999999	1.30132e-129 0.0102016
2.58 0.010603832	3.95434e-128 0.0106038
2.59 0.011006016	1.17795e-126 0.011006
2.6 0.0114082	3.43989e-125 0.0114082
2.61 0.01189234	9.84748e-124 0.0118923
2.62 0.01237648	2.76356e-122 0.0123765
2.63 0.01286062	7.60286e-121 0.0128606
2.6399999999999997 0.01334476	2.05045e-119 0.0133448
2.65 0.0138289	5.4211e-118 0.0138289
2.6599999999999997 0.01435952	1.40504e-116 0.0143595
2.67 0.01489014	3.56991e-115 0.0148901
2.6799999999999997 0.01542076	8.89182e-114 0.0154208
2.69 0.01595138	2.17115e-112 0.0159514
2.7 0.016482	5.19704e-111 0.016482
2.71 0.017013	1.21952e-109 0.017013
2.7199999999999998 0.017544	2.80536e-108 0.017544
2.73 0.018075	6.32638e-107 0.018075
2.74 0.018606	1.39859e-105 0.018606
2.75 0.019137	3.03105e-104 0.019137
2.76 0.01967638	6.43969e-103 0.0196764
2.7699999999999996 0.02021576	1.34124e-101 0.0202158
2.78 0.020755140000000002	2.73852e-100 0.0207551
2.79 0.02129452	5.48145e-99 0.0212945
2.8 0.0218339	1.07559e-97 0.0218339
2.8099999999999996 0.0224209	2.06903e-96 0.0224209
2.82 0.0230079	3.90173e-95 0.0230079
2.83 0.0235949	7.21308e-94 0.0235949
